date,Close,Bitcoin,Blockchain,Crypto,Cryptocurrency,Economy,Ethereum,Gold,Market,NFT,,,,,,,,
20/05/16,442.675995,0.387007195,5.149788474,0.28709324,0.422637305,42.63002263,1.660671445,7.921968971,6.292396503,0.131716279,,,,,,,,
21/05/16,443.187988,0.193503597,1.872650354,0.133976845,0.21516081,26.68273239,1.215125448,4.120701602,15.04703512,0.123218455,,,,,,,,
22/05/16,439.322998,0.145127698,3.394178767,0.181825719,0.122949034,29.13616166,1.336637993,10.45614722,13.95270529,0.067982596,,,,,,,,
23/05/16,444.154999,0.241879497,6.437235593,0.220104818,0.330425529,47.53688116,1.539158901,4.120701602,6.292396503,0.297423856,,,,,,,,
24/05/16,445.980988,0.193503597,5.969073004,0.392360762,0.384215732,49.99031043,1.296133811,6.654879848,6.292396503,0.259183646,,,,,,,,
25/05/16,449.598999,0.338631296,7.022438829,0.43063986,0.399584361,47.53688116,1.539158901,7.921968971,9.575385984,0.208196699,,,,,,,,
26/05/16,453.384003,0.096751799,5.969073004,0.392360762,0.376531417,47.53688116,1.417646356,9.189058094,10.66971581,0.178454314,,,,,,,,
27/05/16,473.463989,0.580510792,5.969073004,0.401930536,0.230529439,34.04302019,1.377142174,5.387790725,10.66971581,0.199698875,,,,,,,,
28/05/16,530.039978,0.822390289,2.926016179,0.258383916,0.453374563,19.32244459,1.417646356,7.921968971,19.42435442,0.144463016,,,,,,,,
29/05/16,526.232971,0.870766189,3.628260061,0.239244367,0.476427507,23.00258849,1.053108722,7.921968971,13.95270529,7.54758E-18,,,,,,,,
30/05/16,533.864014,0.967517987,6.55427624,0.411500311,0.376531417,31.58959093,1.134117085,9.189058094,9.575385984,0.24643691,,,,,,,,
31/05/16,531.385986,0.77401439,6.203154299,0.564616706,0.184423551,42.63002263,1.174621266,7.921968971,6.292396503,0.237939085,,,,,,,,
01/06/16,536.919983,0.725638491,6.671316887,0.401930536,0.430321619,41.40330799,1.377142174,15.52450371,7.38672633,0.267681471,,,,,,,,
02/06/16,537.971985,0.580510792,5.969073004,0.497628283,0.430321619,41.40330799,1.336637993,7.921968971,6.292396503,0.212445612,,,,,,,,
